Company Name,Ticker,Next EPS Report Date ,# of Analysts in Q0 Consensus,Avg Volume,Q0 Consensus Est. (last completed fiscal Qtr),Market Cap ,Optionable,Earnings ESP,Zacks Rank
"Redfin Corporation","RDFN","20180208","7","356984.94","-.04","2165.17","YES","25","3"
"Redhill Biopharma Ltd.","RDHL","20180222","3","121192.7","-.65","109.98","YES","","3"
"Radian Group Inc.","RDN","20180125","4","1267656.25",".44","4770.45","YES","-4.55","2"
"Radius Health, Inc.","RDUS","20180222","4","698088.38","-1.49","1547.34","YES","","4"
"Radware Ltd.","RDWR","20180207","5","168761.8",".08","874.38","YES","","3"
"Everest Re Group, Ltd.","RE","20180205","5","361044.09","5.52","9207.89","YES",".36","3"
"Resources Connection, Inc.","RECN","20180404","3","134254.2",".2","520.83","YES","0","2"
"Regency Centers Corporation","REG","20180208","10","875996.38",".92","10897.25","YES","0","3"
"Regeneron Pharmaceuticals, Inc.","REGN","20180208","13","598470.81","4.65","39425.82","YES","","3"
"Ring Energy, Inc.","REI","20180321","6","393919.31",".08","850.31","YES","0","3"
"Resolute Energy Corporation","REN","20180312","5","460778.56",".34","826.35","YES","31.37","3"
"RPC, Inc.","RES","20180124","10","1127773.25",".33","5315.02","YES","-6.06","1"
"Reata Pharmaceuticals, Inc.","RETA","20180302","6","174862.7","-.58","742.39","YES","","4"
"REV Group, Inc.","REVG","20180306","6","410972.16",".46","2032.79","YES","4.35","3"
"Rexford Industrial Realty, Inc.","REXR","20180215","8","478141.09",".25","2210.77","YES","","2"
"Rex Energy Corporation","REXX","20180306","3","405541.25","-.76","16.59","YES","","4"
"Regions Financial Corporation","RF","20180119","24","8056187",".26","21204.27","YES","-7.69","1"
"Reinsurance Group of America, Incorporated","RGA","20180129","3","239045.95","2.82","10560.97","YES","1.06","1"
"Regal Entertainment Group","RGC","20180208","6","3701828.5",".37","3606.63","YES","-16.22","3"
"Repligen Corporation","RGEN","20180228","6","229490.91",".12","1594.91","YES","","3"
"Regulus Therapeutics Inc.","RGLS","20180301","4","735097.94","-.17","127.86","YES","-17.65","2"
"Restoration Hardware Holdings Inc.","RH","20180222","10","867165.31","1.03","2042.99","YES","0","1"
"Robert Half International Inc.","RHI","20180125","6","606219.13",".63","7064.73","YES","-46.03","1"
"Ryman Hospitality Properties, Inc.","RHP","20180227","5","217363.2","1.61","3805.4","YES","0","3"
"Red Hat, Inc.","RHT","20180326","14","1868927",".7","22293.65","YES","0","3"
"Transocean Ltd.","RIG","20180222","10","10970007","-.25","4773.09","YES","-16","3"
"Rigel Pharmaceuticals, Inc.","RIGL","20180306","3","1451296.63","-.13","596.22","YES","","2"
"Ralph Lauren Corporation","RL","20180201","6","888343.5","1.82","8679.36","YES","1.1","5"
"Realogy Holdings Corp.","RLGY","20180223","6","1757776.38",".23","3634.66","YES","","5"
"RLJ Lodging Trust","RLJ","20180228","8","1295662.63",".52","3872.51","YES","-3.92","4"
"RE/MAX Holdings, Inc.","RMAX","20180222","5","172725.45",".46","867.1","YES","","3"
"Rambus, Inc.","RMBS","20180129","3","836298.5",".19","1576.41","YES","","3"
"ResMed Inc.","RMD","20180122","3","427837.5",".78","12456.33","YES","","3"
"Ringcentral, Inc.","RNG","20180212","13","327115.84",".06","4049.32","YES","","3"
"Rexahn Pharmaceuticals, Inc.","RNN","20180226","3","297631.75","-.14","67.26","YES","","3"
"RenaissanceRe Holdings Ltd.","RNR","20180131","5","363366.5",".87","4823.9","YES","4.6","4"
"Retail Opportunity Investments Corp.","ROIC","20180221","9","819153.5",".29","2058.53","YES","0","4"
"Rockwell Automation, Inc.","ROK","20180124","10","537933","1.73","26695.26","YES","","3"
"Roku, Inc.","ROKU","20180214","3","7162849.5","-.11","4243.6","YES","0","3"
"RBC Bearings Incorporated","ROLL","20180214","4","68022.35",".86","3168.82","YES","","3"
"Roper Technologies, Inc.","ROP","20180208","7","365306","2.61","28178.21","YES",".38","3"
"Ross Stores, Inc.","ROST","20180227","12","2054910",".67","31939.76","YES","11.83","2"
"RealPage, Inc.","RP","20180226","4","399336.16",".25","4015.49","YES","-5.88","3"
"Retail Properties of America, Inc.","RPAI","20180213","7","1550027.88",".23","2811.5","YES","0","3"
"Rapid7, Inc.","RPD","20180208","5","192155.5","-.17","978.55","YES","","3"
"RPM International Inc.","RPM","20180405","8","915290.88",".6","7123.06","YES","0","2"
"Ramco-Gershenson Properties Trust","RPT","20180220","10","528717.13",".33","1091.28","YES","","3"
"Range Resources Corporation","RRC","20180228","10","6782581.5",".13","4362.28","YES","0","3"
"Red Robin Gourmet Burgers, Inc.","RRGB","20180220","6","237538.3",".55","721.18","YES","","3"
"Red Rock Resorts, Inc.","RRR","20180306","5","544780.69",".25","4003.41","YES","-36","3"
"Reliance Steel & Aluminum Co.","RS","20180215","7","374633.66",".99","6595.16","YES","1.01","3"
"Republic Services, Inc.","RSG","20180208","5","1273971.75",".58","22854.3","YES","","3"
"RSP Permian, Inc.","RSPP","20180226","16","1850318.63",".29","6675.43","YES","-3.45","3"
"RadiSys Corporation","RSYS","20180208","3","2252393.5","-.06","43.06","YES","-16.67","5"
"Rudolph Technologies, Inc.","RTEC","20180201","4","158028.2",".26","762.83","YES","","4"
"Raytheon Company","RTN","20180125","9","1112579.63","2.02","57083.12","YES","4.95","2"
"Sunrun Inc.","RUN","20180314","3","809868.88",".08","682.4","YES","","3"
"Rush Enterprises, Inc.","RUSHA","20180221","3","178853.41",".55","2133.91","YES","","1"
"Ruth's Hospitality Group, Inc.","RUTH","20180216","4","175525.8",".38","700.63","YES","","3"
"Revolution Lighting Technologies, Inc.","RVLT","20180308","3","230714.09","-3.36","71.67","YES","0",""
"Revance Therapeutics, Inc.","RVNC","20180226","3","408706.31","-.98","1234.2","YES","-7.14","3"
"Ignyta, Inc.","RXDX","20180313","3","5067215.5","-.44","1821.52","YES","","2"
"Rexnord Corporation","RXN","20180207","6","824630.38",".27","2893.27","YES","0","3"
"Royal Bank Of Canada","RY","20180223","4","544197.56","1.49","122551.94","YES","","3"
"Ryerson Holding Corporation","RYI","20180312","4","175483.09",".09","463.25","YES","-100","4"
"Rayonier Inc.","RYN","20180214","4","400421.06",".09","4182.55","YES","","2"
"Sprint Corporation","S","20180130","15","16217848","-.04","22761.97","YES","-25","3"
"Sabre Corporation","SABR","20180206","5","2005407.63",".27","5642.1","YES","","2"
"Sanderson Farms, Inc.","SAFM","20180222","5","606544.63","3.48","2990.53","YES","0","5"
"Sage Therapeutics, Inc.","SAGE","20180222","14","605203.25","-2.04","7219.76","YES","-15.2","3"
"Sonic Automotive, Inc.","SAH","20180220","5","313742.66",".79","961.09","YES","","2"
"Saia, Inc.","SAIA","20180202","6","146258.7",".53","1933.42","YES","1.89","1"
"SCIENCE APPLICATIONS INTERNATIONAL CORPORATION","SAIC","20180329","5","291511.75",".85","3346.44","YES","6.25","3"
"SailPoint Technologies Holdings, Inc.","SAIL","20180221","4","238314.55",".09","1407.36","YES","","3"
"Scorpio Bulkers Inc.","SALT","20180205","6","348654.91","-.01","592.35","YES","-700","3"
"Boston Beer Company, Inc. (The)","SAM","20180228","3","137707.75",".94","2240.28","YES","","1"
"S&W Seed Company","SANW","20180208","4","67959","0","82.12","YES","",""
"SAP SE","SAP","20180130","6","509894.31","1.78","135349.77","YES","","3"
"Spirit Airlines, Inc.","SAVE","20180206","9","1042732.69",".51","3347.94","YES","7.84","3"
"Safe Bulkers, Inc","SB","20180222","5","361794.06","0","365.5","YES","","3"
"SBA Communications Corporation","SBAC","20180226","8","827135.13",".18","18329.5","YES","-16.67","3"
"Strongbridge Biopharma PLC","SBBP","20180326","3","181959.5","-.31","286.5","NO","","3"
"Seacoast Banking Corporation of Florida","SBCF","20180125","4","221375.59",".36","1166.99","YES","","2"
"Sinclair Broadcast Group, Inc.","SBGI","20180228","5","1434197.75",".62","3972.99","YES","3.23","3"
"Sally Beauty Holdings, Inc.","SBH","20180208","10","1598317.5",".42","2333.34","YES","","3"
"Star Bulk Carriers Corp.","SBLK","20180228","3","319179.56",".17","762.78","YES","-35.29","3"
"Signature Bank","SBNY","20180118","18","313084.81","2.23","7946.69","YES","-.9","3"
"Spring Bank Pharmaceuticals, Inc.","SBPH","20180221","3","37203.95","-.55","161.37","NO","",""
"Sabra Healthcare REIT, Inc.","SBRA","20180228","7","1493615.88",".67","3177.88","YES","-1.49","3"
"Starbucks Corporation","SBUX","20180125","11","6646167",".57","85937.13","YES","-1.75","3"
"Santander Consumer USA Holdings Inc.","SC","20180131","6","1549562.75",".32","6763.4","YES","0","3"
"Scana Corporation","SCG","20180215","4","3862066",".98","6295.49","YES","-6.12","5"
"The Charles Schwab Corporation","SCHW","20180117","9","5081325",".41","74254.51","YES","-2.44","1"
"Service Corporation International","SCI","20180212","4","1015745.31",".45","7136.98","YES","","2"
"Stellus Capital Investment Corporation","SCM","20180309","3","162363.34",".3","202.35","YES","","4"
"Sucampo Pharmaceuticals, Inc.","SCMP","20180314","3","4243396.5",".34","851.38","YES","","2"
"ScanSource, Inc.","SCSC","20180206","3","93993.75",".79","908.75","YES","","3"
"SecureWorks Corp.","SCWX","20180404","7","71298","-.09","757.26","YES","","3"
"SeaWorld Entertainment, Inc.","SEAS","20180227","8","1795605","-.18","1342.07","YES","","3"
"SolarEdge Technologies, Inc.","SEDG","20180213","4","500415.75",".63","1561.37","YES","","3"
"Sealed Air Corporation","SEE","20180208","6","2013125.75",".57","8813.66","YES","","4"
"SEI Investments Company","SEIC","20180124","3","519687.16",".61","12070.31","YES","3.28","1"
"Select Medical Holdings Corporation","SEM","20180222","3","711091.56",".19","2408.85","YES","-5.26","3"
"Semgroup Corporation","SEMG","20180222","4","1037548.19",".02","2301.54","YES","350","3"
"SendGrid, Inc.","SEND","","5","325082","0","1047.51","YES","","3"
"Spectra Energy Partners, LP","SEP","20180216","7","504140.09",".82","13583.78","YES","-1.22","3"
"ServiceMaster Global Holdings, Inc.","SERV","20180222","4","458848.66",".34","7186.24","YES","2.94","2"
"Stitch Fix, Inc.","SFIX","","3","929885.31",".06","2436.64","YES","116.67","3"
"Ship Finance International Limited","SFL","20180227","3","539458.63",".26","1593.63","YES","26.92","5"
"Shutterfly, Inc.","SFLY","20180207","3","594206.5","2.91","1742.78","YES","","2"
"Sprouts Farmers Market, Inc.","SFM","20180222","9","1646294.5",".15","3389.32","YES","0","3"
"Smart","SFS","20180314","4","367974.5",".13","622.44","YES","","4"
"Seattle Genetics, Inc.","SGEN","20180208","9","785170.06","-.46","7536.07","YES","","3"
"SMART Global Holdings, Inc.","SGH","20180315","4","657268.31",".92","753.24","NO","0","1"
"Sangamo Therapeutics, Inc.","SGMO","20180227","5","1035670.19","-.18","1546.73","YES","","3"
"Scientific Games Corp","SGMS","20180301","4","899081.13","-.22","4827.17","YES","","3"
"Surgery Partners, Inc.","SGRY","20180308","3","458471.44",".06","741.29","YES","","3"
"Shake Shack, Inc.","SHAK","20180307","7","609263.63",".05","1584.86","YES","","3"
"A. Schulman, Inc.","SHLM","20180403","3","192505.7",".44","1157.91","YES","-5.56","2"
"Shell Midstream Partners, L.P.","SHLX","20180222","4","500307.31",".35","5732.98","YES","","3"
"Sunstone Hotel Investors, Inc.","SHO","20180220","10","1499405.63",".25","3749.36","YES","","3"
"Steven Madden, Ltd.","SHOO","20180227","8","427597.16",".47","2848.76","YES","2.13","2"
"Shopify Inc.","SHOP","20180221","14","732785.94",".05","9725.39","YES","","3"
"Shire PLC","SHPG","20180215","7","1117169.38","3.86","44384.22","YES",".52","4"
"Sherwin-Williams Company (The)","SHW","20180125","10","374285.75","3.18","40476.6","YES","-4.72","2"
"Signet Jewelers Limited","SIG","20180308","6","2505889",".15","3445.78","YES","0","5"
"Silicon Motion Technology Corporation","SIMO","20180206","4","414724.56",".63","1791.13","YES","","4"
"Sirius XM Holdings Inc.","SIRI","20180201","7","23670664",".05","25185.09","YES","0","3"
"SiteOne Landscape Supply, Inc.","SITE","20180321","4","254322.09","-.04","2842.62","YES","","3"
"SITO Mobile, Ltd.","SITO","20180327","3","92558.4","-.03","152.21","NO","","5"
"SVB Financial Group","SIVB","20180125","11","420461.66","2.56","13352.97","YES","-.78","1"
"Six Flags Entertainment Corporation New","SIX","20180220","9","692766.56",".12","5694.93","YES","","3"
"South Jersey Industries, Inc.","SJI","20180222","4","386887.84",".41","2363.4","YES","0","3"
"J.M. Smucker Company (The)","SJM","20180216","9","814558.38","1.89","14021.4","YES","3.26","3"
"Shaw Communications Inc.","SJR","20180411","3","494475.69",".25","10377.21","YES","0","5"
"Peak Resorts, Inc.","SKIS","20180308","5","26135.55","-.66","73.41","YES","","3"
"Tanger Factory Outlet Centers, Inc.","SKT","20180213","5","1245932.75",".63","2375.49","YES","0","5"
"Skechers U.S.A., Inc.","SKX","","5","1471020.88",".13","6109.02","YES","7.69","2"
"SkyWest, Inc.","SKYW","20180201","4","266588.44",".7","2838.4","YES","7.04","2"
"Silicon Laboratories, Inc.","SLAB","20180207","5","191382.8",".86","4047.93","YES","","3"
"Schlumberger N.V.","SLB","20180119","15","8411848",".44","108008.88","YES","-2.27","3"
"U.S. Silica Holdings, Inc.","SLCA","20180228","8","2059489.38",".55","3086.66","YES","0","3"
"Sun Life Financial Inc.","SLF","20180221","4","358408.09",".81","25672.44","YES","-1.23","2"
"SL Green Realty Corporation","SLG","20180124","10","867935.88","1.59","9381.46","YES","0","3"
"Silgan Holdings Inc.","SLGN","20180130","6","351684.56",".32","3258.21","YES","","3"
"SLM Corporation","SLM","20180117","5","2908966.5",".19","5057.43","YES","5.26","2"
"Solar Capital Ltd.","SLRC","20180228","3","194870.55",".42","882.83","YES","","3"
"SM Energy Company","SM","20180228","11","3309088.5","-.21","2995.99","YES","19.05","3"
"Super Micro Computer, Inc.","SMCI","20180125","3","364947.56",".43","1046.9","YES","","3"
"Sharps Compliance Corp","SMED","20180124","4","46332.45",".01","63.87","YES","","5"
"Scotts Miracle-Gro Company (The)","SMG","20180130","5","442653.25","-.91","6205.07","YES","9.89","2"
"Semtech Corporation","SMTC","20180314","5","437441.81",".49","2574.69","YES","","4"
"Sanchez Energy Corporation","SN","20180228","6","2654819.25",".16","503.93","YES","12.5","2"
"Snap-On Incorporated","SNA","20180201","6","488595.06","2.66","10465.92","YES","","3"
"Snap Inc.","SNAP","20180206","11","12933267","-.14","16992.09","YES","","3"
"Select Comfort Corporation","SNBR","20180214","7","401327.56",".2","1545.77","YES","","2"
"SMART SAND INC","SND","20180315","4","629081.81",".16","428.17","YES","","1"
"Schneider National, Inc.","SNDR","20180206","6","911234",".31","5125.95","YES","-6.25","1"
"Syndax Pharmaceuticals, Inc.","SNDX","20180301","3","210442.05","-.85","224.14","YES","18.82","2"
"Senior Housing Properties Trust","SNH","20180226","6","1157473.38",".42","4201.3","YES","7.14","4"
"Scripps Networks Interactive, Inc","SNI","20180220","7","872853.81","1.25","11415.63","YES","","3"
"Synopsys, Inc.","SNPS","20180221","5","1095149",".56","13439.29","YES","","5"
"Synovus Financial Corp.","SNV","20180123","9","727986.81",".68","6090.48","YES","1.47","2"
"Synnex Corporation","SNX","20180326","3","180888.2","2.69","5513.97","YES","0","2"
"Sanofi","SNY","20180214","5","1030526.5",".68","112913.13","YES","-2.94","4"
"Southern Company (The)","SO","20180228","3","5738723",".46","45002.68","YES","2.17","4"
"Solaris Oilfield Infrastructure, Inc.","SOI","20180201","5","419196.44",".2","951.81","YES","-10","2"
"Sonoco Products Company","SON","20180208","6","356152.44",".73","5386.54","YES","","3"
"Sonic Corp.","SONC","20180327","10","949887",".25","1012.98","YES","0","2"
"Spectrum Brands Holdings, Inc.","SPB","20180208","6","491386.16","1.29","6942.78","YES","","3"
"Simon Property Group, Inc.","SPG","20180130","9","1530199.75","3.11","105888.34","YES","","4"
"S&P Global Inc.","SPGI","20180206","6","796841.88","1.6","45298.2","YES","3.13","2"
"Suburban Propane Partners, L.P.","SPH","20180201","3","356467.41",".87","1580.15","YES","2.3","3"
"Sophiris Bio, Inc.","SPHS","20180326","3","246458.25","-.11","68.95","YES","",""
"Splunk Inc.","SPLK","20180222","17","1177887.75",".15","12680.29","YES","","3"
"Superior Energy Services, Inc.","SPN","20180220","10","3344217.25","-.32","1731.37","YES","-6.45","3"
"Sapiens International Corporation N.V.","SPNS","20180227","3","37977.55",".14","604.36","YES","","3"
"Spirit Aerosystems Holdings, Inc.","SPR","20180207","10","681424.25","1.22","11163.5","YES","1.64","2"
"SPS Commerce, Inc.","SPSC","20180206","7","127018.9",".21","866.54","YES","","3"
"SpartanNash Company","SPTN","20180228","3","221183.55",".42","935.02","YES","","4"
"Sportsman's Warehouse Holdings, Inc.","SPWH","20180322","6","614038.38",".24","228.22","YES","","4"
"SunPower Corporation","SPWR","20180221","8","2163057",".16","1270.1","YES","","3"
"Square, Inc.","SQ","20180228","15","12916750",".07","16028.35","YES","","3"
"Sequans Communications S.A.","SQNS","20180213","4","257351.41","-.08","162.36","YES","0","3"
"Spire Inc.","SR","20180131","3","189963.95","1.06","3327.53","YES",".94","2"
"Spirit Realty Capital, Inc.","SRC","20180228","6","5315055.5",".22","3692.77","YES","","4"
"Synergy Resources Corporation","SRCI","20180222","11","2451093.5",".23","2172.05","YES","-8.7","3"
"Stericycle, Inc.","SRCL","20180221","8","554183.13","1.13","6112.71","YES","-.88","3"
"Sempra Energy","SRE","20180227","3","2562679.5","1.39","27218.9","YES","","3"
"Sarepta Therapeutics, Inc.","SRPT","20180227","10","1597673.38","-.35","3976.16","YES","20","4"
"ProNAi Therapeutics, Inc.","SRRA","20180301","3","633294.13","-.2","169.96","NO","","3"
"South State Corporation","SSB","20180123","3","132685.55","1.19","3358.04","YES","-.84","1"
"SS&C Technologies Holdings, Inc.","SSNC","20180221","7","1709428",".53","10183.94","YES","","2"
"Shutterstock, Inc.","SSTK","20180226","5","151460.45",".34","1544.08","YES","","3"
"Seaspan Corporation","SSW","20180227","9","1404395.75",".2","901.06","YES","5","4"
"Stratasys, Ltd.","SSYS","20180308","7","563089.13",".16","1236.41","YES","","2"
"Sensata Technologies Holding N.V.","ST","20180201","8","999079.88",".85","9277.39","YES","0","3"
"Stag Industrial, Inc.","STAG","20180215","7","559803.56",".43","2412.29","YES","0","3"
"Extended Stay America, Inc.","STAY","","6","1641333.25",".17","3964.23","YES","0","3"
"Student Transportation Inc","STB","20180212","3","155522.75",".06","589.22","YES","","3"
"STERIS PLC","STE","20180206","3","341070.09","1.07","7796.72","YES","","3"
"SunTrust Banks, Inc.","STI","20180119","13","3499336.75","1.05","32793.91","YES","0","2"
"Sterling Bancorp","STL","20180123","3","1875858",".38","5831.15","YES","0","2"
"Steel Dynamics, Inc.","STLD","20180122","8","2194101.75",".53","11139.11","YES","-1.96","1"
"STMicroelectronics N.V.","STM","20180125","3","2211390.25",".35","22074.26","YES","","1"
"Stamps.com Inc.","STMP","20180222","4","287032.34","2.74","3369.95","YES","","3"
"Stantec Inc.","STN","20180222","4","15878.4",".36","3218.95","NO","","4"
"Scorpio Tankers Inc.","STNG","20180212","7","2570480.25","-.08","1004.84","YES","-25","4"
"STORE Capital Corporation","STOR","20180222","9","1240058.13",".41","4649.69","YES","0","5"
"State Street Corporation","STT","20180123","8","1242022.63","1.71","39768.56","YES","0","3"
"STARWOOD PROPERTY TRUST, INC.","STWD","20180222","3","1947268.63",".52","5465.32","YES","","4"
"Seagate Technology PLC","STX","20180129","8","4369199","1.32","14830.49","YES","5.3","2"
"Constellation Brands Inc","STZ","20180405","8","2241040","1.87","42353.32","YES","0","2"
"Suncor Energy  Inc.","SU","20180207","5","2328905.5",".44","62834.96","YES","47.73","3"
"Sun Communities, Inc.","SUI","20180222","3","298393.34",".98","6917.92","YES","","3"
"Summit Materials, Inc.","SUM","20180228","5","1020727.5",".26","3503.18","YES","7.69","4"
"Sunoco LP","SUN","20180228","7","501453.81",".26","3661.03","YES","-57.69","3"
"Superior Industries International, Inc.","SUP","20180301","3","147018.8",".33","410.97","YES","","3"
"Supernus Pharmaceuticals, Inc.","SUPN","20180227","6","449374.75",".26","2263.22","YES","","3"
"SuperValu Inc.","SVU","20180424","4","1442988.75",".48","627.22","YES","0","3"
"Switch, Inc.","SWCH","20180212","5","1041952.31","-.22","4355.71","YES","","3"
"Sierra Wireless, Inc.","SWIR","20180208","3","285796.16",".26","714.37","YES","0","4"
"Stanley Black & Decker, Inc.","SWK","20180124","9","700822.56","2.14","26594.3","YES","","3"
"Skyworks Solutions, Inc.","SWKS","20180205","12","1802288.38","1.91","18596.33","YES","-2.25","5"
"Southwestern Energy Company","SWN","20180222","11","20100056",".13","2802.97","YES","-15.38","3"
"SunCoke Energy Partners, L.P.","SXCP","20180131","3","235636.8",".67","899.08","YES","","3"
"Synchrony Financial","SYF","20180119","8","4534270",".63","30810.64","YES","0","3"
"Stryker Corporation","SYK","20180130","15","953122.5","1.95","59215.68","YES",".51","3"
"Sykes Enterprises, Incorporated","SYKE","20180226","4","123343.85",".4","1368.02","YES","","3"
"Symantec Corporation","SYMC","20180207","14","4213537",".44","17867.88","YES","","3"
"Synaptics Incorporated","SYNA","20180125","8","627878.06","1.09","1693.38","YES","","3"
"Syntel, Inc.","SYNT","20180215","7","308747.69",".4","1947.07","YES","","3"
"Syros Pharmaceuticals, Inc.","SYRS","20180319","5","247404.16","-.57","276.37","YES","","2"
"Sysco Corporation","SYY","20180205","6","2057814.63",".64","31982.42","YES","","2"
"AT&T Inc.","T","20180131","19","25851276",".65","226529.11","YES","0","3"
"Thomson Reuters Corp.","T.TRI","20180208","6","448153.59",".71","38666.17","NO","",""
"Del Taco Restaurants, Inc.","TACO","20180312","4","308597.41",".17","520.98","YES","","3"
"Molson Coors Brewing  Company","TAP","20180213","6","1093540.63",".57","18283.15","YES","0","3"
"TrueBlue, Inc.","TBI","20180214","3","170872.55",".47","1133.32","YES","","3"
"Triumph Bancorp, Inc.","TBK","20180122","4","107446.75",".46","738.1","NO","","1"
"Triangle Capital Corporation","TCAP","20180228","5","580129.88",".34","485.05","YES","","4"
"Texas Capital Bancshares, Inc.","TCBI","20180124","9","439914.06","1.16","4893.22","YES","4.31","2"
"TCF Financial Corporation","TCF","20180126","7","1278608.88",".34","3820.33","YES","-8.57","2"
"Tactile Systems Technology, Inc.","TCMD","20180226","3","192238.2",".14","520.62","NO","-7.14","2"
"Taubman Centers, Inc.","TCO","20180208","13","1063861","1.01","3794.56","YES","0","4"
"TRACON Pharmaceuticals, Inc.","TCON","20180227","3","152518.7","-.45","50.78","NO","22.22","3"
"TC PipeLines, LP","TCP","20180226","4","237029.16",".76","3855.33","YES","13.16","3"
"TCP Capital Corp.","TCPC","20180227","5","249779.41",".38","906.57","YES","","3"
"THL Credit, Inc.","TCRD","20180308","5","130930.2",".31","299.62","YES","","3"
"Container Store (The)","TCS","20180206","3","175774.41",".14","236.66","YES","","4"
"Toronto Dominion Bank (The)","TD","20180301","4","891377.19","1.1","108447.78","YES","","3"
"Teradata Corporation","TDC","20180208","8","876147.81",".5","4636.72","YES","","3"
"Transdigm Group Incorporated","TDG","20180206","7","340542.75","2.81","15198.3","YES","","3"
"Teladoc, Inc.","TDOC","20180307","11","877433","-.42","1862.65","YES","-2.38","3"
"Atlassian Corporation PLC","TEAM","20180118","9","820082.38",".12","5130.31","YES","","3"
"Tech Data Corporation","TECD","20180314","4","201729.34","1.89","4000.34","YES","","3"
"Bio-Techne Corp","TECH","20180206","7","138600.5",".92","5245.43","YES","","3"
"Teck Resources Ltd","TECK","20180221","6","3787026",".86","17480.12","YES","","3"
"Tallgrass Energy GP, LP","TEGP","20180221","3","273790.19",".21","4064.37","YES","","3"
"TE Connectivity Ltd.","TEL","20180124","6","1358007.63","1.25","35223.48","YES","","2"
"Magellan Petroleum Corporation","TELL","","3","1367349.75","-.1","2508.8","YES","-20","3"
"Tenneco Inc.","TEN","20180206","10","314945.66","1.63","3337.29","YES","","4"
"Tallgrass Energy Partners, LP","TEP","20180221","6","342944.69",".68","3390.62","YES","8.82","5"
"Teradyne, Inc.","TER","20180124","7","1781602.25",".34","8748.65","YES","","3"
"TerraForm Power, Inc.","TERP","20180720","3","666131.19","-.49","1607.17","YES","","3"
"Teva Pharmaceutical Industries Limited","TEVA","20180208","9","20802038",".83","22423.12","YES","","4"
"Terex Corporation","TEX","20180220","9","763580.38",".25","4104.08","YES","","3"
"Teleflex Incorporated","TFX","20180222","6","216835.91","2.4","11856","YES","2.5","3"
"Textainer Group Holdings Limited","TGH","20180215","3","192647.09",".18","1406.81","YES","","3"
"Triumph Group, Inc.","TGI","20180201","7","422459.59",".68","1457.14","YES","","4"
"TEGNA Inc.","TGNA","20180301","6","2444673.5",".3","3236.7","YES","","4"
"Teekay LNG Partners L.P.","TGP","20180222","3","229922.75",".3","1692.07","YES","","4"
"Target Corporation","TGT","20180227","10","6613812.5",".86","41746.41","YES","2.94","3"
"TG Therapeutics, Inc.","TGTX","20180309","5","1250298.75","-.46","697.69","YES","0","4"
"Tenet Healthcare Corporation","THC","20180226","11","1744048.25","1.29","1640.23","YES","-3.88","3"
"Thor Industries, Inc.","THO","20180305","4","363851.5","1.8","8246.61","YES","","1"
"Gentherm Inc","THRM","20180220","6","186127",".53","1208.64","YES","5.66","5"
"Treehouse Foods, Inc.","THS","20180215","7","666655.13",".93","2796.1","YES","3.23","3"
"Tiffany & Co.","TIF","20180316","10","1375886",".77","13479.08","YES",".66","3"
"Interface, Inc.","TILE","20180228","4","420109.19",".3","1548.45","YES","","3"
"Titan Machinery Inc.","TITN","20180329","5","232116.91",".06","524.76","YES","","2"
"TiVo Corporation","TIVO","20180221","4","1842360.63",".39","1800.3","YES","","5"
"TJX Companies, Inc. (The)","TJX","20180228","12","3252837.5","1","49496.68","YES","3.15","3"
"Timken Company (The)","TKR","20180207","3","491091.34",".67","4051.61","YES","","3"
"Teligent, Inc.","TLGT","20180306","3","341643.31","-.11","191.17","YES","","5"
"Talend S.A.","TLND","20180213","3","244065.45","-.29","1149.98","NO","","3"
"TransMontaigne Partners L.P.","TLP","20180313","3","31120.2",".51","666.01","YES","","3"
"Tilly's, Inc.","TLYS","20180312","3","126906.35",".21","415.96","YES","","2"
"Taylor Morrison Home Corporation","TMHC","20180129","5","1424958.38",".68","3317.71","YES","1.47","3"
"Torchmark Corporation","TMK","20180207","5","450835.09","1.23","10649.99","YES","","2"
"Thermo Fisher Scientific Inc","TMO","20180131","10","1277467.88","2.66","84277.12","YES","","4"
"Timken Steel Corporation","TMST","20180125","4","457241.84","-.34","823.07","YES","-5.88","3"
"T-Mobile US, Inc.","TMUS","20180213","17","2983125.75",".35","52979.47","YES","-2.86","3"
"Tandem Diabetes Care, Inc.","TNDM","20180314","5","646338.63","-1.3","32.79","YES","","2"
"TriNet Group, Inc.","TNET","20180227","5","260806.91",".47","2923.23","YES","","4"
"Teekay Tankers Ltd.","TNK","20180222","5","2291580","-.05","247.3","YES","-80","4"
"Tsakos Energy Navigation Ltd","TNP","20180316","7","344589.94",".02","343.79","YES","-50","5"
"Tintri, Inc.","TNTR","","6","162495.95","-.79","213.32","NO","0","3"
"Toll Brothers Inc.","TOL","20180228","8","1990967","1.2","7900.66","YES","2.04","3"
"Tutor Perini Corporation","TPC","20180222","3","371049.25",".5","1368.98","YES","","3"
"TRI Pointe Group, Inc.","TPH","20180228","5","1572135",".64","2892.81","YES","1.56","1"
"TPI Composites, Inc.","TPIC","20180315","4","156456.41",".19","713.53","YES","","4"
"Tapestry, Inc.","TPR","20180206","12","1902811.25",".86","13018.69","YES","4.65","3"
"Third Point Reinsurance Ltd.","TPRE","20180222","3","848084.88",".45","1519.47","YES","0","4"
"Tempur Sealy International, Inc.","TPX","20180215","8","495166",".84","3464.88","YES","-16.67","1"
