"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"COL","Rockwell Collin...","22,576","bmo","1.55","--","NA","--",""
"CPKF","Chesapeake Fina...","118","--","0.33","--","NA","--",""
"GD","General Dynamic...","62,879","--","2.38","--","NA","--",""
"GLOP","Gaslog Partners...","1,009","--","0.53","--","NA","--",""
"GNTX","Gentex Corporat...","6,530","bmo","0.32","--","NA","--",""
"HON","Honeywell Inter...","120,386","bmo","1.84","--","NA","--",""
"HRC","Hill-rom Holdin...","5,713","bmo","0.80","--","NA","--",""
"LCNB","Lcnb Corporatio...","211","--","0.32","--","NA","--",""
"LEA","Lear Corporatio...","12,778","bmo","4.25","--","NA","--",""
"MOG.A","Moog Inc.","3,175","--","0.85","--","NA","--",""
"NEP","Nextera Energy...","2,187","bmo","0.26","--","NA","--",""
"PFS","Provident Finan...","1,863","bmo","0.39","--","NA","--",""
"POL","Polyone Corpora...","3,689","bmo","0.39","--","NA","--",""
"PROV","Provident Finan...","143","--","0.20","--","NA","--",""
"SBSI","Southside Bancs...","1,251","--","0.50","--","NA","--",""
"SLCT","Select Bancorp,...","158","--","0.19","--","NA","--",""
"SONA","Southern Nation...","400","--","0.24","--","NA","--",""
"VNTR","Venator Materia...","2,541","--","0.68","--","NA","--",""﻿"Symbol","Company","Market Cap(M)","Time","Estimate","Reported","ESP","Price Change","Report"
"ELVT","Elevate Credit,...","324","--","0.13","--","30.77%","--",""
"ARLP","Alliance Resour...","2,719","--","0.59","--","15.25%","--",""
"ADNT","Adient Plc","7,698","bmo","1.88","--","6.38%","--",""
"STX","Seagate Technol...","14,830","bmo","1.32","--","5.30%","--",""
"EPD","Enterprise Prod...","62,412","--","0.35","--","2.86%","--",""
"PCH","Potlatch Corpor...","2,093","amc","0.59","--","1.69%","--",""
"TMHC","Taylor Morrison...","3,318","--","0.68","--","1.47%","--",""
"RGA","Reinsurance Gro...","10,561","amc","2.82","--","1.06%","--",""
"ARE","Alexandria Real...","12,659","amc","1.54","--","0.65%","--",""
"HTLF","Heartland Finan...","1,647","amc","0.81","--","-1.23%","--",""
"HA","Hawaiian Holdin...","2,033","amc","1.11","--","-1.80%","--",""
"FMBI","First Midwest B...","2,685","amc","0.36","--","-2.78%","--",""
"BANC","Banc Of Califor...","1,084","--","0.23","--","-4.35%","--",""
"DHT","Dht Holdings, I...","540","--","0.01","--","-200.00%","--",""
"ACBI","Atlantic Capita...","464","bmo","0.16","--","NA","--",""
"AEIS","Advanced Energy...","2,825","--","1.21","--","NA","--",""
"AHGP","Alliance Holdin...","1,700","--","0.89","--","NA","--",""
"AMG","Affiliated Mana...","11,272","--","4.53","--","NA","--",""
"BFIN","Bankfinancial C...","282","--","0.17","--","NA","--",""
"CASH","Meta Financial...","1,003","--","0.21","--","NA","--",""
"CR","Crane Company","5,477","amc","1.17","--","NA","--",""
"CSTR","Capstar Financi...","244","--","0.28","--","NA","--",""
"CZFS","Citizens Financ...","220","--","0.61","--","NA","--",""
"D","Dominion Energy...","48,949","bmo","0.90","--","NA","--",""
"DM","Dominion Midstr...","2,136","bmo","0.38","--","NA","--",""
"ELS","Equity Lifestyl...","7,366","amc","0.87","--","NA","--",""
"FISI","Financial Insti...","509","amc","0.50","--","NA","--",""
"FLIC","The First Of Lo...","703","--","0.38","--","NA","--",""
"GABC","German American...","853","--","0.42","--","NA","--",""
"GGG","Graco Inc.","7,901","amc","0.35","--","NA","--",""
"GGP","General Growth...","22,186","--","0.47","--","NA","--",""
"IBTX","Independent Ban...","2,064","amc","0.93","--","NA","--",""
"IDTI","Integrated Devi...","4,289","amc","0.41","--","NA","--",""
"IEX","Idex Corporatio...","10,453","--","1.07","--","NA","--",""
"LMT","Lockheed Martin...","96,414","bmo","4.06","--","NA","--",""
"LPG","Dorian Lpg Ltd....","429","--","-0.19","--","NA","--",""
"NRIM","Northrim Bancor...","241","--","0.51","--","NA","--",""
"PFG","Principal Finan...","21,428","amc","1.37","--","NA","--",""
"RMBS","Rambus, Inc.","1,576","--","0.19","--","NA","--",""
"RYAM","Rayonier Advanc...","862","--","0.15","--","NA","--",""
"SANM","Sanmina Corpora...","2,474","--","0.70","--","NA","--",""
"SMMF","Summit Financia...","339","--","0.53","--","NA","--",""
"TCBK","Trico Bancshare...","906","--","0.58","--","NA","--",""
"TESS","Tessco Technolo...","178","--","0.08","--","NA","--",""
"TRNS","Transcat, Inc.","99","--","0.12","--","NA","--",""
"VBTX","Veritex Holding...","697","amc","0.26","--","NA","--",""
"WERN","Werner Enterpri...","2,886","amc","0.38","--","NA","--",""
