"Raytheon Company","RTN","20180125","9","1112579.63","2.02","57083.12","YES","4.95","2","RTN","Raytheon Compan...","57,083","bmo","2.02","--","4.95%","--","",
"Seacoast Banking Corporation of Florida","SBCF","20180125","4","221375.59",".36","1166.99","YES","","2","SBCF","Seacoast Bankin...","1,167","amc","0.36","--","NA","--","",
"Starbucks Corporation","SBUX","20180125","11","6646167",".57","85937.13","YES","-1.75","3","SBUX","Starbucks Corpo...","85,937","amc","0.57","--","-1.75%","--","",
"SEI Investments Company","SEIC","20180124","3","519687.16",".61","12070.31","YES","3.28","1","SEIC","Sei Investments...","12,070","--","0.61","--","3.28%","--","",
"Sherwin-Williams Company (The)","SHW","20180125","10","374285.75","3.18","40476.6","YES","-4.72","2","SHW","Sherwin-william...","40,477","bmo","3.18","--","-4.72%","--","",
"SVB Financial Group","SIVB","20180125","11","420461.66","2.56","13352.97","YES","-.78","1","SIVB","Svb Financial G...","13,353","amc","2.56","--","-0.78%","--","",
"SL Green Realty Corporation","SLG","20180124","10","867935.88","1.59","9381.46","YES","0","3","SLG","Sl Green Realty...","9,381","amc","1.59","--","NA","--","",
"Sharps Compliance Corp","SMED","20180124","4","46332.45",".01","63.87","YES","","5","SMED","Sharps Complian...","64","--","0.02","--","NA","--","",
"Synovus Financial Corp.","SNV","20180123","9","727986.81",".68","6090.48","YES","1.47","2","SNV","Synovus Financi...","6,090","bmo","0.68","--","1.47%","--","",
"South State Corporation","SSB","20180123","3","132685.55","1.19","3358.04","YES","-.84","1","SSB","South State Cor...","3,358","bmo","1.19","--","-0.84%","--","",
"Sterling Bancorp","STL","20180123","3","1875858",".38","5831.15","YES","0","2","STL","Sterling Bancor...","5,831","amc","0.38","--","NA","--","",
"STMicroelectronics N.V.","STM","20180125","3","2211390.25",".35","22074.26","YES","","1","STM","Stmicroelectron...","22,074","bmo","0.35","--","NA","--","",
"State Street Corporation","STT","20180123","8","1242022.63","1.71","39768.56","YES","0","3","STT","State Street Co...","39,769","bmo","1.71","--","NA","--","",
"Seagate Technology PLC","STX","20180129","8","4369199","1.32","14830.49","YES","5.3","2","STX","Seagate Technol...","14,830","bmo","1.32","--","5.30%","--","",
"Synaptics Incorporated","SYNA","20180125","8","627878.06","1.09","1693.38","YES","","3","SYNA","Synaptics Incor...","1,693","--","1.09","--","NA","--","",
"TE Connectivity Ltd.","TEL","20180124","6","1358007.63","1.25","35223.48","YES","","2","TEL","Te Connectivity...","35,224","bmo","1.25","--","NA","--","",
"Taylor Morrison Home Corporation","TMHC","20180129","5","1424958.38",".68","3317.71","YES","1.47","3","TMHC","Taylor Morrison...","3,318","--","0.68","--","1.47%","--","",
"Timken Steel Corporation","TMST","20180125","4","457241.84","-.34","823.07","YES","-5.88","3","TMST","Timken Steel Co...","823","amc","-0.34","--","-5.88%","--","",
"Trustmark Corporation","TRMK","20180123","3","280624.34",".48","2287.65","YES","0","2","TRMK","Trustmark Corpo...","2,288","amc","0.48","--","NA","--","",
